,song,name,trackid,trackuri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,clust
1327,All I Want,Kodaline,2jTidefcsTu6VQhpIImJrt,spotify:track:2jTidefcsTu6VQhpIImJrt,0.188,0.411,0,-9.733,1,0.0484,0.174,0.153,0.0843,0.159,187.376,305747,2
1328,Mooi,Marco Borsato,7DBafN97VFAJjm3sMev3KG,spotify:track:7DBafN97VFAJjm3sMev3KG,0.492,0.434,7,-7.741,1,0.0281,0.103,0.000132,0.12,0.307,150.049,315147,2
1329,Adventure of a Lifetime,Coldplay,69uxyAqqPIsUyTO8txoP2M,spotify:track:69uxyAqqPIsUyTO8txoP2M,0.638,0.924,7,-3.887,1,0.036,0.00205,0.000175,0.149,0.53,111.995,263787,4
1330,Michelle - Remastered 2009,The Beatles,5By7Pzgl6TMuVJG168VWzS,spotify:track:5By7Pzgl6TMuVJG168VWzS,0.578,0.29,5,-12.501,0,0.0341,0.652,0.0,0.105,0.666,117.403,162373,1
1331,Cose della vita,Eros Ramazzotti,7L93Qjqgh05ZuFflWWyTjN,spotify:track:7L93Qjqgh05ZuFflWWyTjN,0.502,0.603,6,-9.496,0,0.0311,0.0634,0.000504,0.224,0.474,176.199,288893,2
1332,Why Worry?,Dire Straits,3KRJx4PjRJBFPGFQD0p02H,spotify:track:3KRJx4PjRJBFPGFQD0p02H,0.591,0.132,4,-21.243,1,0.0296,0.934,0.553,0.271,0.106,93.714,509067,0
1333,Send Me An Angel,Scorpions,1bKQ48M9onID2kbSpRy8kK,spotify:track:1bKQ48M9onID2kbSpRy8kK,0.153,0.417,1,-11.587,1,0.0318,0.434,0.000622,0.211,0.166,80.87,273333,1
1334,'39 - Remastered 2011,Queen,65NTcXUtOb27NHKQ4fAcw0,spotify:track:65NTcXUtOb27NHKQ4fAcw0,0.524,0.571,8,-9.686,1,0.0273,0.0271,0.0,0.111,0.373,101.626,210800,4
1335,1979 - Remastered 2012,The Smashing Pumpkins,5QLHGv0DfpeXLNFo7SFEy1,spotify:track:5QLHGv0DfpeXLNFo7SFEy1,0.767,0.787,3,-9.897,1,0.0331,0.0163,0.583,0.0513,0.964,126.879,266200,4
1336,Rockin' All Over The World,Status Quo,6YlOxoHWLjH6uVQvxUIUug,spotify:track:6YlOxoHWLjH6uVQvxUIUug,0.632,0.933,0,-7.874,1,0.0326,0.236,0.00151,0.604,0.968,131.487,215333,4
1337,Wanted Dead Or Alive,Bon Jovi,0oerlffJSzhRVvtDfLcp3N,spotify:track:0oerlffJSzhRVvtDfLcp3N,0.252,0.802,7,-3.976,1,0.0391,0.13,0.0146,0.309,0.253,150.056,308667,2
1338,Disco Inferno,The Trammps,3GXo1eWlT2flv4x01l5OTu,spotify:track:3GXo1eWlT2flv4x01l5OTu,0.676,0.704,10,-8.534,1,0.0329,0.000362,0.0709,0.139,0.812,129.594,213840,4
1339,Autobahn - 2009 Remaster,Kraftwerk,31uidLEHAcF8Cw1cX1VCS8,spotify:track:31uidLEHAcF8Cw1cX1VCS8,0.333,0.497,2,-15.606,1,0.0366,0.105,0.872,0.129,0.113,81.681,1367093,0
1340,Calypso,John Denver,2eD5bmknmcojiCxoKpvVTI,spotify:track:2eD5bmknmcojiCxoKpvVTI,0.219,0.43,9,-9.202,1,0.0309,0.82,4.39e-05,0.124,0.495,180.05,216173,1
1341,Road to Nowhere - 2005 Remaster,Talking Heads,2co8fDyaVmxv8xruQWORnC,spotify:track:2co8fDyaVmxv8xruQWORnC,0.654,0.789,2,-4.901,1,0.0322,0.0404,1.29e-05,0.119,0.579,110.378,260213,4
1342,Het Land Van Maas En Waal,Boudewijn de Groot,2nk4SnUS6xe1iB5SeIBbgo,spotify:track:2nk4SnUS6xe1iB5SeIBbgo,0.66,0.567,2,-10.951,1,0.0536,0.669,0.00117,0.177,0.962,126.071,178533,4
1343,Dance Monkey,Tones And I,2XU0oxnq2qxCpomAAuJY8K,spotify:track:2XU0oxnq2qxCpomAAuJY8K,0.824,0.588,6,-6.4,0,0.0924,0.692,0.000104,0.149,0.513,98.027,209438,3
