,song,name,trackid,trackuri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,clust
0,"Bagatelle in A Minor, WoO 59 ""Für Elise""",Various Artists,50tFFbm0a9fp5K7tPTl0Gi,spotify:track:50tFFbm0a9fp5K7tPTl0Gi,0.352,0.0949,9,-25.077,0,0.0466,0.993,0.912,0.106,0.0519,131.865,196013,0
1,Never Tear Us Apart,INXS,1GjbTNFImFrjFsNdleDe78,spotify:track:1GjbTNFImFrjFsNdleDe78,0.664,0.613,0,-7.56,1,0.0273,0.00309,0.000128,0.175,0.193,96.6,184587,4
2,Need You Tonight,INXS,3h04eZTnmFLRMjZajbrp2R,spotify:track:3h04eZTnmFLRMjZajbrp2R,0.795,0.63,10,-7.217,0,0.0841,0.0419,0.575,0.0894,0.785,108.701,181107,3
3,New Sensation,INXS,2xcrseImDFEf8Urommws03,spotify:track:2xcrseImDFEf8Urommws03,0.682,0.954,9,-4.951,1,0.0625,0.00712,4.04e-05,0.052,0.928,115.475,220160,4
4,Never Tear Us Apart,INXS,3pyTksNccLM1jRvzQ4zTke,spotify:track:3pyTksNccLM1jRvzQ4zTke,0.664,0.613,0,-7.56,1,0.0273,0.00309,0.000128,0.175,0.193,96.6,184587,4
5,Original Sin,INXS,7G67ZJRQT9nn2Fa9vA6B32,spotify:track:7G67ZJRQT9nn2Fa9vA6B32,0.685,0.633,9,-7.259,1,0.0377,0.0136,0.000106,0.0935,0.731,131.397,317240,4
6,Theme From Schindler's List,John Williams,3DzMT13HJV7EsbVbNZZJZQ,spotify:track:3DzMT13HJV7EsbVbNZZJZQ,0.117,0.134,2,-24.162,0,0.0415,0.864,0.838,0.0977,0.0769,83.83,255160,0
7,"Bizet: Carmen, WD 31, Act 1 Scene 4: No. 5, Havanaise, ""L'amour est un oiseau rebelle"" (Carmen, Chorus)",Georges Bizet,2r1FiNXh5mDNEP8K07YRVp,spotify:track:2r1FiNXh5mDNEP8K07YRVp,0.363,0.115,2,-17.325,1,0.0689,0.976,0.0,0.0992,0.231,134.424,262147,1
8,"Puccini: Madama Butterfly, Act 2: ""Un bel di vedremo"" (Butterfly)",Giacomo Puccini,69EKwvg7nkdOO3RmeUMJZG,spotify:track:69EKwvg7nkdOO3RmeUMJZG,0.207,0.17,1,-11.784,1,0.0404,0.991,0.0243,0.0804,0.0827,77.235,287907,1
9,"Puccini: Gianni Schicchi, Act 1: ""O mio babbino caro"" (Lauretta)",Giacomo Puccini,78k57V2uo6Sm72j1H7Ih14,spotify:track:78k57V2uo6Sm72j1H7Ih14,0.17,0.108,8,-16.626,1,0.0424,0.972,0.0715,0.153,0.0792,74.536,154507,1
10,Andrea Chenier (1997 Digital Remaster): La mamma morta,Maria Callas,2rnCae7ZO9bIfQFscasS3q,spotify:track:2rnCae7ZO9bIfQFscasS3q,0.235,0.144,2,-11.303,1,0.0449,0.975,7.53e-05,0.163,0.0387,78.639,292600,1
11,"Ave Maria, dolce Maria",Luciano Pavarotti,3SRQUPAJBy9zdKk0AWVbry,spotify:track:3SRQUPAJBy9zdKk0AWVbry,0.228,0.346,6,-10.698,1,0.039,0.982,0.016,0.192,0.0681,128.309,163640,1
12,"La Traviata / Act 1: ""Libiamo ne'lieti calici""",Giuseppe Verdi,3jQa7pofP3CHRTt4Xnoyt6,spotify:track:3jQa7pofP3CHRTt4Xnoyt6,0.424,0.214,10,-17.688,1,0.0763,0.962,2.9e-05,0.681,0.282,113.211,175507,1
13,"Sonata No. 14 ""Moonlight"" in C-Sharp Minor"", Op. 27 No. 2: I. Adagio sostenuto",Ludwig van Beethoven,3DNRdudZ2SstnDCVKFdXxG,spotify:track:3DNRdudZ2SstnDCVKFdXxG,0.184,0.00527,1,-37.264,0,0.0432,0.995,0.887,0.173,0.151,170.612,315427,0
14,"Für Elise, WoO 59",Ludwig van Beethoven,1QGN2Perfetpju3762mJsk,spotify:track:1QGN2Perfetpju3762mJsk,0.303,0.108,9,-27.433,0,0.0473,0.994,0.877,0.0805,0.18,126.931,188467,0
15,"Symphony No. 7 in A Major, Op. 92: II. Allegretto",Ludwig van Beethoven,3UCkSy4kbnW02zvLJPRTiT,spotify:track:3UCkSy4kbnW02zvLJPRTiT,0.229,0.00756,4,-26.971,0,0.0398,0.894,0.0639,0.104,0.0399,131.936,526373,1
16,Requiem: Lacrimosa,Stephen Cleobury,69RoAhDqFOiQb2pQvb24Ii,spotify:track:69RoAhDqFOiQb2pQvb24Ii,0.162,0.102,2,-23.315,0,0.036,0.932,0.9,0.17,0.0445,131.626,169667,0
17,"Piano Concerto No. 21 in C Major, K. 467 ""Elvira Madigan"": II. Andante",Wolfgang Amadeus Mozart,2YarjDYjBJuH63dUIh9OWv,spotify:track:2YarjDYjBJuH63dUIh9OWv,0.194,0.0324,5,-28.215,1,0.0382,0.982,0.961,0.0916,0.0596,144.13,433800,0
18,"Le Nozze di Figaro, K. 492: Sinfonia",Wolfgang Amadeus Mozart,4rjnWmrSRqXVkFWdKMG3pV,spotify:track:4rjnWmrSRqXVkFWdKMG3pV,0.386,0.0738,2,-19.369,1,0.0433,0.839,0.947,0.155,0.172,142.499,251200,0
19,"Mozart / Arr. Grieg for Two Pianos: Piano Sonata No. 16 in C Major, K. 545 ""Semplice"": I. Allegro (Live)",Martha Argerich,6LKsT6X9BxMK8ePCDNRLal,spotify:track:6LKsT6X9BxMK8ePCDNRLal,0.401,0.14,0,-22.696,1,0.0338,0.99,0.929,0.078,0.326,130.037,283213,0
20,"Piano Quartet No. 1 in G Minor, K. 478: II. Andante",Wolfgang Amadeus Mozart,0oM6BbdHGhEza0gG8Y06pK,spotify:track:0oM6BbdHGhEza0gG8Y06pK,0.294,0.0428,10,-24.864,1,0.0368,0.977,0.532,0.191,0.17,67.698,418133,0
21,"Serenade In G Major: Eine Kleine Nachtmusik, K. 525: I. Allegro",Wolfgang Amadeus Mozart,4GRDiNU8fkizXz4rDX9gS5,spotify:track:4GRDiNU8fkizXz4rDX9gS5,0.39,0.0432,6,-24.344,1,0.0506,0.723,0.000303,0.108,0.326,147.436,468133,1
22,Nocturne en mi bémol majeur opus 9 n°2: Ballade en Sol Mineur No.1,Frédéric Chopin,7n92QzQomRCLlciO14X0kd,spotify:track:7n92QzQomRCLlciO14X0kd,0.387,0.0451,3,-24.698,1,0.0364,0.99,0.913,0.112,0.071,61.494,268427,0
23,"Nocturne, Op. posth. in C-Sharp Minor: Lento",Frédéric Chopin,0bcGY7mfG10QfeaDbz97hC,spotify:track:0bcGY7mfG10QfeaDbz97hC,0.272,0.00397,1,-31.601,0,0.0475,0.992,0.9,0.0763,0.19,72.059,239973,0
24,"Chopin: Nocturne No. 2 in E-Flat Major, Op. 9 No. 2",Frédéric Chopin,2BdCGziEn9nEl59rzUJ3XT,spotify:track:2BdCGziEn9nEl59rzUJ3XT,0.426,0.0222,10,-27.289,1,0.042,0.99,0.926,0.0948,0.0809,101.163,308427,0
25,"24 Préludes, Op. 28: No.15 in D flat major - Sostenuto",Frédéric Chopin,5xXjqFnvQbxZglR1sGm0Yc,spotify:track:5xXjqFnvQbxZglR1sGm0Yc,0.36,0.0177,1,-23.79,1,0.0432,0.992,0.895,0.127,0.0384,70.353,339947,0
26,"Cello Suite No. 1 in G Major, BWV 1007: I. Prélude",Johann Sebastian Bach,17i5jLpzndlQhbS4SrTd0B,spotify:track:17i5jLpzndlQhbS4SrTd0B,0.275,0.157,7,-18.752,1,0.0636,0.89,0.842,0.186,0.304,73.289,152280,0
27,Ave Maria,Johann Sebastian Bach,0NqETRzX6JXmU36p0b5plB,spotify:track:0NqETRzX6JXmU36p0b5plB,0.18,0.0317,0,-27.042,1,0.0458,0.993,0.937,0.0565,0.158,125.802,161280,0
28,"Goldberg Variations, BWV 988: Aria",Johann Sebastian Bach,5bu9A6uphPWg39RC3ZKeku,spotify:track:5bu9A6uphPWg39RC3ZKeku,0.454,0.0139,4,-29.966,0,0.0514,0.995,0.943,0.0736,0.244,130.253,184853,0
29,"Orchestral Suite No. 3 in D Major, BWV 1068: II. Air ""On a G String"" (Arr. for Piano)",Lang Lang,4ksxLnn1ymLGRKnwhba45Y,spotify:track:4ksxLnn1ymLGRKnwhba45Y,0.5,0.0104,2,-26.764,1,0.0622,0.996,0.949,0.0573,0.133,114.76,327080,0
30,Violin Concerto BWV 1042 in E Major: Violin Concerto BWV 1042 in E Major: I. Allegro,Johann Sebastian Bach,3nxaPqAOxUxkLhIhbvmv4t,spotify:track:3nxaPqAOxUxkLhIhbvmv4t,0.441,0.319,3,-13.99,1,0.0392,0.829,0.0,0.0765,0.671,99.419,453507,1
31,"Ouverture dans le style français, BWV 831: Ouverture dans le style français, BWV 831: V. Sarabande",Johann Sebastian Bach,2fteBRbyEj2Lo7Lr17xXgu,spotify:track:2fteBRbyEj2Lo7Lr17xXgu,0.451,0.0287,11,-33.021,0,0.052,0.996,0.927,0.0779,0.221,89.017,243560,0
32,"Vivaldi: The Four Seasons, Violin Concerto in G Minor, Op. 8 No. 2, RV 315 ""Summer"": III. Presto",Antonio Vivaldi,2nnXe7n3Vivs7OfQKRsfWD,spotify:track:2nnXe7n3Vivs7OfQKRsfWD,0.362,0.569,7,-15.394,0,0.0345,0.876,0.91,0.327,0.746,148.692,173427,0
33,"The Four Seasons, Violin Concerto No. 2 in G Minor, RV 315 ""L'estate"": III. Tempo impetuoso d'estate",Antonio Vivaldi,0VQMAup2VdeQWLCvM14Uz2,spotify:track:0VQMAup2VdeQWLCvM14Uz2,0.364,0.571,6,-15.596,1,0.0453,0.874,0.867,0.121,0.38,84.899,150667,0
34,"The Four Seasons - Violin Concerto in G Minor, Op. 8 No. 2, RV 315 ""Summer"": I. Allegro non moto",Antonio Vivaldi,1JxG51UgJSvxvoQNhdF8rO,spotify:track:1JxG51UgJSvxvoQNhdF8rO,0.312,0.126,7,-19.108,0,0.0452,0.756,0.0166,0.095,0.068,141.565,325787,1
35,"The Four Seasons - Summer in G Minor, RV. 315: III. Presto",Antonio Vivaldi,1Ojz92vyPK4fJ5K8RVnV5u,spotify:track:1Ojz92vyPK4fJ5K8RVnV5u,0.34,0.489,7,-15.316,1,0.0412,0.83,0.91,0.141,0.468,157.024,167880,0
36,"The Four Seasons, Violin Concerto No. 4 in F Minor, RV 297 ""Winter"": II. Largo",Antonio Vivaldi,7njAZhca4o80qQdCgyEWya,spotify:track:7njAZhca4o80qQdCgyEWya,0.33,0.0649,3,-25.176,1,0.0443,0.898,6.19e-05,0.0931,0.34,83.398,117907,1
37,"Nisi Dominus, RV 608: IV. Cum dederit",Antonio Vivaldi,1okQeekaBL7DzFxS0j1s7l,spotify:track:1okQeekaBL7DzFxS0j1s7l,0.132,0.0083,7,-30.221,0,0.0616,0.978,0.00393,0.132,0.0391,80.347,310253,1
38,"Vivaldi: The Four Seasons, Violin Concerto in E Major, Op. 8 No. 1, RV 269 ""Spring"": I. Allegro",Antonio Vivaldi,6JV3m7TDJ9gsJNHp0e4MWM,spotify:track:6JV3m7TDJ9gsJNHp0e4MWM,0.575,0.174,4,-14.423,1,0.0424,0.883,0.898,0.108,0.381,113.134,187720,0
39,"Vivaldi: The Four Seasons, Violin Concerto in F Major, Op. 8 No. 3, RV 293 ""Autumn"": I. Allegro",Antonio Vivaldi,5tmsAMFU2DUOfRyrL154r9,spotify:track:5tmsAMFU2DUOfRyrL154r9,0.477,0.141,5,-20.308,1,0.0537,0.875,0.774,0.192,0.172,112.264,277960,0
40,"Concerto for 2 Cellos in G Minor, RV 531: I. Allegro",Antonio Vivaldi,2cq1Bvya0v5sC0FioZiiD3,spotify:track:2cq1Bvya0v5sC0FioZiiD3,0.546,0.268,7,-17.933,0,0.0462,0.983,0.756,0.0995,0.701,115.052,210560,0
41,"Handel / Orch. Hale: Keyboard Suite No. 4 in D Minor, HWV 437: III. Sarabande",George Frideric Handel,1upQiytDIEZfl9ItruoXuC,spotify:track:1upQiytDIEZfl9ItruoXuC,0.0939,0.0336,2,-24.041,0,0.0606,0.927,0.83,0.0954,0.0516,67.359,207267,0
42,"Concerto in D Minor, Op.7, No.4: I. Adagio",George Frideric Handel,05iURKvut2OWEzPHQUhDT5,spotify:track:05iURKvut2OWEzPHQUhDT5,0.0685,0.0173,1,-26.846,0,0.0408,0.942,0.66,0.1,0.073,74.996,285840,0
43,"Menuet en Sol Mineur, Transcription de Wilhem Kempff d’après Le Menuet de la Suite en Si Bémol Majeur No. 1, HWV 434, 1er Cahier",George Frideric Handel,27cvNIRYgNqDGki4r49lxF,spotify:track:27cvNIRYgNqDGki4r49lxF,0.401,0.00611,7,-32.702,0,0.0611,0.995,0.948,0.0637,0.0851,68.54,275640,0
44,"String Quartet No. 62 in C Major, Op. 76, No. 3, Hob.III:77, ""Emperor"": II. Poco adagio, cantabile",Franz Joseph Haydn,67TCAXIe154ZGDNaWceqxC,spotify:track:67TCAXIe154ZGDNaWceqxC,0.159,0.0401,7,-27.516,1,0.0446,0.984,0.76,0.156,0.106,106.239,462627,0
45,"Impromptus, D 899, Op. 90: III. Andante",Franz Schubert,6A8tC6e9DLPd5iEZRX1CrC,spotify:track:6A8tC6e9DLPd5iEZRX1CrC,0.265,0.0184,6,-27.585,1,0.0362,0.993,0.903,0.0865,0.0423,64.471,397147,0
46,"Vier Impromptus, op.90 D.899: Vier Impromptus, op.90 D.899: III. Andante mosso, G flat major",Franz Schubert,0aFCf29QYiBxfUAvnUKpVs,spotify:track:0aFCf29QYiBxfUAvnUKpVs,0.187,0.00914,6,-31.231,1,0.0362,0.993,0.934,0.109,0.0383,67.144,350107,0
47,"""Trout"" Quintet in A, Op. 114 (Die Forelle/La Truite): ""Trout"" Quintet in A, Op. 114 (Die Forelle/La Truite): II. Andante",Trio Wanderer,2qspLJIbR4qj4X17dZAB1u,spotify:track:2qspLJIbR4qj4X17dZAB1u,0.325,0.0716,0,-26.806,1,0.0516,0.95,0.844,0.12,0.148,121.363,401933,0
48,"Fantasy in C Major, Op. 159, D. 934: I. Andante molto",Franz Schubert,5rkBnTgLJa6xBuBSZTbuCT,spotify:track:5rkBnTgLJa6xBuBSZTbuCT,0.191,0.0368,0,-31.484,1,0.0439,0.943,0.372,0.0456,0.0615,130.415,202733,0
49,"Serenade for String Orchestra in E major, Op. 22, II. Tempo di Valse",Antonín Dvořák,3ZTwTBpMQQJ5JcGLLY0t4H,spotify:track:3ZTwTBpMQQJ5JcGLLY0t4H,0.0,0.0842,9,-19.397,1,0.0,0.755,0.889,0.262,0.0,0.0,432533,0
50,"Dvořák: Czech Suite in D Major, Op. 39, B. 93: IV. Romanza",Antonín Dvořák,4IDn6FlDFosueSOH0mfExb,spotify:track:4IDn6FlDFosueSOH0mfExb,0.108,0.0439,7,-28.888,1,0.0425,0.969,0.959,0.105,0.0494,69.395,265773,0
51,"Rigoletto / Act 3: ""La donna è mobile""",Luciano Pavarotti,5MpayeDmtJwgCpxQOkVBtN,spotify:track:5MpayeDmtJwgCpxQOkVBtN,0.366,0.174,6,-14.047,1,0.0384,0.963,1.11e-05,0.085,0.389,67.893,146000,1
52,Requiem: II. Dies irae,Giuseppe Verdi,18mjTyCpqUWuF1HedQZW4s,spotify:track:18mjTyCpqUWuF1HedQZW4s,0.318,0.188,0,-19.257,0,0.0321,0.929,0.315,0.0978,0.22,80.756,137160,1
53,"Paganini: 24 Caprices, Op. 1: No. 24 in A Minor (Tema con variazioni. Quasi presto)",Niccolò Paganini,6cC6h5E351deEGFd7Kh9uy,spotify:track:6cC6h5E351deEGFd7Kh9uy,0.465,0.128,9,-17.628,0,0.0519,0.978,0.271,0.0423,0.428,111.471,268853,1
54,"Tchaikovsky: Swan Lake, Op. 20, Act 2: Scene (Moderato)",Pyotr Ilyich Tchaikovsky,2xizRhme7pYeITbH1NLLGt,spotify:track:2xizRhme7pYeITbH1NLLGt,0.136,0.164,4,-18.756,0,0.0364,0.911,0.916,0.109,0.071,58.303,166867,0
55,"Hungarian Dance No.5 In G Minor, WoO 1 No. 5",Johannes Brahms,3WXihZyREYjtzDjTfArJN2,spotify:track:3WXihZyREYjtzDjTfArJN2,0.358,0.167,7,-16.0,0,0.0354,0.899,0.96,0.103,0.601,144.561,138707,0
56,"Liebestraume, S541/R211 : No. 3: Nocturne in A-Flat Major",Franz Liszt,6GzMz3s0K1YKwRVI36CgRx,spotify:track:6GzMz3s0K1YKwRVI36CgRx,0.343,0.0342,8,-25.591,1,0.0406,0.991,0.92,0.1,0.0378,60.228,270000,0
57,"Hungarian Dance No.5 In G Minor, WoO 1 No. 5",Johannes Brahms,3WXihZyREYjtzDjTfArJN2,spotify:track:3WXihZyREYjtzDjTfArJN2,0.358,0.167,7,-16.0,0,0.0354,0.899,0.96,0.103,0.601,144.561,138707,0
58,"Chopin: Nocturne No. 2 in E-Flat Major, Op. 9 No. 2",Frédéric Chopin,2FRnxuLDZ4vSdvER2Xzrv2,spotify:track:2FRnxuLDZ4vSdvER2Xzrv2,0.455,0.0254,3,-26.282,1,0.0442,0.99,0.914,0.126,0.104,131.983,304267,0
59,"Dark eyes ('Ochi chornye,' 'Black Eyes'), folk song",Giovanni,2LIE8ioiDX97wCOOysyiZf,spotify:track:2LIE8ioiDX97wCOOysyiZf,0.339,0.113,2,-23.592,0,0.0486,0.932,0.745,0.102,0.131,68.441,229133,0
60,"Orff: Carmina Burana: Introduction, Fortuna Imperatrix Mundi, No. 1 ""O Fortuna"" (Chorus)",Carl Orff,05roD4SnLrNnwXTwMZRUKS,spotify:track:05roD4SnLrNnwXTwMZRUKS,0.289,0.197,9,-18.424,0,0.0341,0.921,0.00077,0.314,0.584,140.466,156360,1
61,"Tchaikovsky: The Nutcracker, Op. 71, Act II: No. 13, Waltz of the Flowers",Pyotr Ilyich Tchaikovsky,0CJuLeZpCdqrqoCMXWZw8k,spotify:track:0CJuLeZpCdqrqoCMXWZw8k,0.149,0.128,2,-20.459,1,0.0462,0.944,0.928,0.0703,0.113,47.362,415813,0
62,"Piano Concerto No. 1 in B-Flat Minor, Op. 23: Allegro non troppo e molto maestoso",Van Cliburn,7dMKKLuDqwGxPN29dmale9,spotify:track:7dMKKLuDqwGxPN29dmale9,0.265,0.169,10,-16.814,0,0.036,0.976,0.871,0.0903,0.0399,81.013,1240600,0
63,"Rhapsody On a Theme of Paganini, Op. 43: V. Variation XVIII",Sergei Rachmaninoff,7EcjtjNYDhQ82yCQZU0Z9C,spotify:track:7EcjtjNYDhQ82yCQZU0Z9C,0.123,0.0386,1,-25.577,1,0.0374,0.968,0.939,0.0865,0.0573,174.824,163413,0
64,Liebesleid (Love's Sorrow),RueiBin Chen,38EmZT3oWA6lJE0o4ajfG8,spotify:track:38EmZT3oWA6lJE0o4ajfG8,0.331,0.169,9,-19.859,1,0.0325,0.994,0.886,0.121,0.258,97.836,253573,0
65,Suite italienne (Version for Cello & Piano): II. Serenata,Matt Haimovitz,15XmF0HSphSt83EZFLeFhJ,spotify:track:15XmF0HSphSt83EZFLeFhJ,0.165,0.0192,0,-27.157,0,0.0432,0.991,0.876,0.107,0.172,64.115,185053,0
66,"Serenade for Strings in E Major, Op. 22, B. 52: II. Tempo di valse",Antonín Dvořák,3sAYxq1986j3ydqLv6jwUJ,spotify:track:3sAYxq1986j3ydqLv6jwUJ,0.0,0.0842,9,-19.397,1,0.0,0.755,0.889,0.262,0.0,0.0,432533,0
67,"Puccini: La bohème, Act 4: ""Sono andati?"" (Mimì/Rodolfo)",Giacomo Puccini,7xh7qeebAV2MZwGorwRO4y,spotify:track:7xh7qeebAV2MZwGorwRO4y,0.184,0.0316,8,-22.507,1,0.0461,0.987,0.011,0.102,0.0467,173.291,283333,1
68,"Matthäus-Passion: Erster Teil, 1. Chorus I & II Kommt, ihr Töchter, helft mir klagen",Johann Sebastian Bach,7nVJBlD3jmbaq3w6iv6Ygm,spotify:track:7nVJBlD3jmbaq3w6iv6Ygm,0.128,0.288,3,-12.529,0,0.0343,0.954,0.0605,0.117,0.124,77.27,511320,1
69,Serenade,Franz Schubert,6BdrHOEmokkSxTyxCojD6r,spotify:track:6BdrHOEmokkSxTyxCojD6r,0.105,0.0355,0,-25.317,1,0.0393,0.948,0.965,0.0956,0.039,91.169,263493,0
70,"Ständchen, S. 560 (Trans. from Schwanengesang No. 4, D. 957)",Franz Schubert,4b59u2E74KcDuyHCRBkf5v,spotify:track:4b59u2E74KcDuyHCRBkf5v,0.209,0.00299,2,-33.974,1,0.0491,0.992,0.955,0.104,0.039,66.685,442172,0
71,"Ave Maria, S. 558 (after Schubert, D. 839)",Franz Liszt,6mfmrVSe5Cm7cvsNwW6uJk,spotify:track:6mfmrVSe5Cm7cvsNwW6uJk,0.335,0.0287,10,-27.4,1,0.041,0.991,0.888,0.0874,0.0371,67.446,328000,0
72,Frühlingsglaube (Arr. Franz Liszt),Valery Gergiev,2EAgTVB2EdsMdqaqOk062L,spotify:track:2EAgTVB2EdsMdqaqOk062L,0.227,0.00482,8,-36.351,1,0.036,0.993,0.912,0.157,0.0731,70.684,216284,0
73,"Schubert: Schwanengesang, D. 957: No. 4 Ständchen",Anneleen Lenaerts,3v2JRgYXG03Rs0ZR1rVEhR,spotify:track:3v2JRgYXG03Rs0ZR1rVEhR,0.226,0.00348,0,-28.933,0,0.0451,0.99,0.715,0.123,0.053,130.74,267920,0
74,"Ständchen in D Minor (After Schubert), S. 560",Franz Liszt,3GecLjGMqzjmgkvy2v41Wf,spotify:track:3GecLjGMqzjmgkvy2v41Wf,0.341,0.0142,2,-28.293,1,0.0388,0.993,0.921,0.113,0.0384,76.382,357747,0
75,"4 Impromptus, Op.90, D.899: No.4 in A Flat Major: Allegretto",Franz Schubert,4acoaqSa5dno7qMFExRG2w,spotify:track:4acoaqSa5dno7qMFExRG2w,0.343,0.0209,8,-27.015,1,0.0398,0.987,0.922,0.126,0.0393,125.242,497773,0
76,"Schwanengesang, D. 957: Ständchen ""Leise flehen meine Lieder""",Franz Schubert,6Gifhuvyk4uPDGSRrtw8Y6,spotify:track:6Gifhuvyk4uPDGSRrtw8Y6,0.115,0.0357,2,-24.281,0,0.0453,0.98,0.905,0.09,0.0555,178.716,260000,0
77,"Peer Gynt Suite No. 1, Op. 46: I. Morning Mood",Various Artists,38s4sbLZood2eUTelSO3ow,spotify:track:38s4sbLZood2eUTelSO3ow,0.178,0.113,4,-15.157,1,0.0396,0.977,0.881,0.109,0.0348,132.031,224680,0
78,"Symphony No. 5 in C Minor, Op. 67 ""Fate"": Allegro con brio",Various Artists,5X4QnmLUFC7AWsxG4tteAm,spotify:track:5X4QnmLUFC7AWsxG4tteAm,0.319,0.315,0,-13.957,0,0.0487,0.98,0.916,0.129,0.165,93.658,448187,0
79,"The Four Seasons, Violin Concerto in E Major, RV 269 ""Spring"": I. Allegro",Various Artists,2SUVP01rFiE6jwonGoSBN9,spotify:track:2SUVP01rFiE6jwonGoSBN9,0.489,0.173,4,-15.65,1,0.0449,0.745,0.747,0.116,0.217,108.548,192747,0
80,"Adagio for Strings, Op. 11",Various Artists,0Lk6BudgphwpUmPpiLrEvg,spotify:track:0Lk6BudgphwpUmPpiLrEvg,0.101,0.199,10,-15.781,0,0.0437,0.933,0.874,0.0974,0.0317,75.662,502613,0
81,"Die Walkürie, WWV 86b, Act III: Ride of the Valkyries",Various Artists,1DtoFS423q4L3whcGRXJjX,spotify:track:1DtoFS423q4L3whcGRXJjX,0.211,0.42,11,-12.021,1,0.0341,0.919,0.929,0.124,0.108,95.003,311320,0
82,"Nocturnes, Op. 9: No. 2, Andante in E-Flat Major",Various Artists,4ZOqrzUBsCWsx2MnMClUIB,spotify:track:4ZOqrzUBsCWsx2MnMClUIB,0.429,0.0293,10,-24.895,1,0.0368,0.992,0.877,0.0784,0.123,101.049,293160,0
83,"Canon and Gigue in D Major, P. 37: I. Canon",Various Artists,3NvddSkpVLOFxKUPoTQm53,spotify:track:3NvddSkpVLOFxKUPoTQm53,0.391,0.34,2,-12.552,1,0.0412,0.949,0.827,0.11,0.501,136.602,210107,0
84,Carmina Burana: O Fortuna,Various Artists,2d7139N7CJ9eJmGVE42Y44,spotify:track:2d7139N7CJ9eJmGVE42Y44,0.392,0.307,2,-13.074,0,0.0333,0.96,0.0451,0.0854,0.338,136.883,162773,1
85,"Orchestral Suite No. 3 in D Major, BWV 1068: II. Air",Various Artists,3kfR3pry54a3QhQ1yWVIYN,spotify:track:3kfR3pry54a3QhQ1yWVIYN,0.178,0.206,2,-18.407,1,0.0424,0.98,0.86,0.146,0.0954,71.485,254427,0
86,"The Planets, Op. 32: IV. Jupiter, the Bringer of Jollity",Various Artists,5C8ZHJ4kZsP8wWkS0YZnRd,spotify:track:5C8ZHJ4kZsP8wWkS0YZnRd,0.249,0.302,7,-14.062,0,0.034,0.938,0.839,0.059,0.262,147.882,465960,0
87,"Suite bergamasque, L. 75: III. Clair de lune",Various Artists,3yqrsX1aDD5ZS0t4f5msxA,spotify:track:3yqrsX1aDD5ZS0t4f5msxA,0.388,0.0292,1,-24.904,1,0.0459,0.994,0.912,0.104,0.04,68.797,313907,0
88,"Nabucco, Act III: Chorus of the Hebrew Slaves, ""Va pensiero, sull'ali dorate""",Various Artists,1zz2CSclaxD3ql7M9Y8YI3,spotify:track:1zz2CSclaxD3ql7M9Y8YI3,0.224,0.0945,1,-16.475,1,0.0426,0.989,0.764,0.102,0.0574,124.206,299253,0
89,"Piano Concerto No. 21 in C Major, K. 467: II. Andante",Various Artists,5hBXkRYFZk7n7Y68LLYM4z,spotify:track:5hBXkRYFZk7n7Y68LLYM4z,0.172,0.105,5,-20.553,1,0.038,0.977,0.871,0.0987,0.103,176.597,438000,0
90,"Brandenburg Concerto No. 3 in G Major, BWV 1048: III. Allegro",Various Artists,7Htuvd99oJ6sv3cwNVkSte,spotify:track:7Htuvd99oJ6sv3cwNVkSte,0.612,0.372,7,-14.594,1,0.052,0.961,0.702,0.107,0.804,97.573,344840,0
91,"Thaïs, Act II: Méditation",Various Artists,6OTlPhy0s4prvKU3jnuul4,spotify:track:6OTlPhy0s4prvKU3jnuul4,0.186,0.199,2,-17.319,1,0.0454,0.722,0.583,0.13,0.0373,123.587,301093,0
92,"Symphony No. 9 in E Minor, Op. 95 ""From the New World"": II. Largo",Various Artists,0AQJWtbXycfuzKdXLrBuim,spotify:track:0AQJWtbXycfuzKdXLrBuim,0.161,0.0316,1,-24.25,1,0.0443,0.975,0.94,0.0949,0.0338,132.715,769453,0
93,"The Blue Danube, Op. 314",Various Artists,4TAIJ3Z6vDok9a6fPlfwvQ,spotify:track:4TAIJ3Z6vDok9a6fPlfwvQ,0.311,0.184,2,-14.405,1,0.0307,0.974,0.79,0.0669,0.26,96.141,351107,0
94,"21 Hungarian Dances, WoO 1: No. 5, Allegro in F-Sharp Minor",Various Artists,3ltJphxXAd4NLvv8VkdxcH,spotify:track:3ltJphxXAd4NLvv8VkdxcH,0.32,0.233,7,-12.157,0,0.0342,0.823,0.179,0.268,0.4,139.477,158627,1
95,"Swan Lake, Op. 20a: No. 1, Scène",Various Artists,277TXwXnTZCFW7uZyzwIz9,spotify:track:277TXwXnTZCFW7uZyzwIz9,0.115,0.261,4,-13.584,0,0.0363,0.882,0.906,0.281,0.0371,76.836,181667,0
96,3 Gymnopédies: I. Lent et douloureux,Various Artists,4zEGECYEuEPAq52wHswpPB,spotify:track:4zEGECYEuEPAq52wHswpPB,0.456,0.0108,7,-28.383,1,0.0755,0.995,0.961,0.101,0.315,69.457,220733,0
97,"Requiem in D Minor, K. 626: III. Sequenz, No. 6, Lacrymosa",Various Artists,23tA7m6wooo2XHJ8YacENk,spotify:track:23tA7m6wooo2XHJ8YacENk,0.174,0.2,7,-14.482,0,0.0352,0.99,0.952,0.176,0.0398,95.555,169493,0
